8016,A,88,Καρλόβασι,Greece,Marnei Mare Private Villas,,hotel,Καρλόβασι,306987083307,1,,,High,,,,overture:0d22fac4-ba1b-4979-8de8-4316a90d0137,2026-08-15,New,,http://marneimare.gr/,info@marneimare.gr,,https://www.instagram.com/marneimare_samos/,,,,,,,,High,Verified,https://explore.overturemaps.org/#id=0d22fac4-ba1b-4979-8de8-4316a90d0137,
8017,B,70,Brentwood,USA,Marples Property Management,,property_management,"8340 Brentwood Blvd, Brentwood, CA",19256347774,1,,,High,,,,overture:124beb7f-032a-4a78-bf9e-acb9ee7410f8,2026-08-15,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.marplesteam.com,instantresponse2@marplesteam.com,,,,,,,,,,Medium,Recall-first,https://explore.overturemaps.org/#id=124beb7f-032a-4a78-bf9e-acb9ee7410f8,
8018,B,70,San Rafael,USA,Marshall & Co Property Management,,property_management,"2175 Francisco Blvd, San Rafael, CA",14154551111,1,,,High,,,,overture:ccfbcb81-7e4e-4ce5-967a-7a554135f16a,2026-08-15,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://marshallproperty.com/,info@marshallproperty.com,,,,,,,,,,Medium,Recall-first,https://explore.overturemaps.org/#id=ccfbcb81-7e4e-4ce5-967a-7a554135f16a,
8019,B,70,Park City,USA,Mountain Knights Property Management,,real_estate_service,"613 Main St, Park City, UT",14356479800,1,,,High,,,,overture:d697a098-e591-48d6-bc20-bc3d0903d8a9,2026-08-15,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.maryjanesshoes.com,info@maryjanesshoes.com,,https://www.instagram.com/maryjanesshoes/,,,,,,,,Medium,Recall-first,https://explore.overturemaps.org/#id=d697a098-e591-48d6-bc20-bc3d0903d8a9,
8020,A,88,Οία,Greece,Maryloujohn Villas,,hotel,"Nik. Nomikou, Οία",302286071459,1,,,High,,,,overture:f972dbe4-0cf8-497a-bb00-c0616f36a006,2026-08-15,New,,http://www.maryloujohn-villas.com/,maryloujohnvillas@gmail.com,,,,,,,,,,High,Verified,https://explore.overturemaps.org/#id=f972dbe4-0cf8-497a-bb00-c0616f36a006,
8021,A,88,Θάσος,Greece,Mary's Residence Suites and Luxury,,hotel,"Chrisi Ammoudia, Θάσος",302593062049,1,,,High,,,,overture:f8867c14-8125-493d-bb05-7368b6d43c0b,2026-08-15,New,,http://www.marysresidence.gr/,info@marysresidence.gr,,,,,,,,,,High,Verified,https://explore.overturemaps.org/#id=f8867c14-8125-493d-bb05-7368b6d43c0b,
8022,B,70,Alp,Spain,Estació d'Esquí de Masella,,ski_resort,"Av. Peu de Pistes, s/n, Alp",34972144000,1,,,High,,,,overture:a45cb30d-2418-426a-868a-4b1de86a488e,2026-08-15,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.masella.com/,masella@masella.com,,https://www.instagram.com/masellapirineu/,,,,,,,,Medium,Recall-first,https://explore.overturemaps.org/#id=a45cb30d-2418-426a-868a-4b1de86a488e,
8023,B,70,Cary,USA,Masterkey Property Management,,property_management,"150 Cornerstone Dr, Cary, NC",19196553950,1,,,High,,,,overture:5b16c515-fde9-4c00-be65-c3a697413390,2026-08-15,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.masterkeypm.com/,info@masterkeypm.com,,https://www.instagram.com/masterkey_property/,,,,,,,,Medium,Recall-first,https://explore.overturemaps.org/#id=5b16c515-fde9-4c00-be65-c3a697413390,
8024,A,88,Αποκεντρωμένη Διοίκηση Αιγαίου,Greece,Mastiha Villas,,hotel,"Αγίου Ιωάννου, Αποκεντρωμένη Διοίκηση Αιγαίου",306937304095,1,,,High,,,,overture:af91ddd7-5a46-4864-812d-13590f948106,2026-08-15,New,,https://www.mastihavillas.com/,info@mastihavillas.com,,,,,,,,,,High,Verified,https://explore.overturemaps.org/#id=af91ddd7-5a46-4864-812d-13590f948106,
8025,A,88,Δημοτική Ενότητα Γαργαλιάνων,Greece,Mast Luxury Residences,,hotel,"Epar.Od. Filiatron-Korifasiou, Δημοτική Ενότητα Γαργαλιάνων",306973235273,1,,,High,,,,overture:342327b2-ed63-4e27-93cc-92429e45cf7b,2026-08-15,New,,http://mastresidences.com/,info@mastresidences.com,,https://www.instagram.com/mastluxuryresid/,,,,,,,,High,Verified,https://explore.overturemaps.org/#id=342327b2-ed63-4e27-93cc-92429e45cf7b,
