8565,B,70,Altoona,USA,Riverbend Rentals & Property Management,,property_management,"2620 Fairway Dr, Altoona, WI",+17152254200,1,,,High,,,,overture:3c9900fb-cca7-41d5-90a4-659e0aac807a,46249,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.riverbendpm.com/,admin@riverbendpm.com,,,,,,,,,Email,Medium,Recall-first,https://explore.overturemaps.org/#id=3c9900fb-cca7-41d5-90a4-659e0aac807a,,domain:riverbendpm.com,17152254200,riverbendpm.com,riverbend rentals property management,Altoona,USA,Riverbend Rentals & Property Management,8565
8566,A,91,Marquette,USA,Water Street Lodge Riverfront Vacation Rental,,holiday_rental_home,"79 Water St, Marquette, IA",+16087320212,1,,,High,,,,overture:0ea80c1c-f138-4e47-922d-bf82dd83abd8,46249,New,,http://www.RiverfrontVacationRentals.com/,riverfrontvacationrentals@gmail.com,,https://www.instagram.com/riverfront_vacation_rentals/,,,,,,,Email,High,Verified,https://explore.overturemaps.org/#id=0ea80c1c-f138-4e47-922d-bf82dd83abd8,,domain:riverfrontvacationrentals.com,16087320212,riverfrontvacationrentals.com,water street lodge riverfront vacation rental,Marquette,USA,Water Street Lodge Riverfront Vacation Rental,8566
8567,B,70,Sarnia,USA,Real Property Management Riverview,,property_management,"301 Front St N Unit 5, Sarnia",+15199002033,1,,,High,,,,overture:23ee6c64-a5a1-41b6-ae31-294ea2fa2b58,46249,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.riverviewmgt.ca/,info@riverviewmgt.ca,,https://www.instagram.com/riverview.pm/,,,,,,,Email,Medium,Recall-first,https://explore.overturemaps.org/#id=23ee6c64-a5a1-41b6-ae31-294ea2fa2b58,,domain:riverviewmgt.ca,15199002033,riverviewmgt.ca,real property management riverview,Sarnia,USA,Real Property Management Riverview,8567
8568,A,91,Waterville,USA,"Log Cabin Rentals in Waterville, Ohio",,lodging,"9001 S River Rd, Waterville, OH",+14196543323,1,,,High,,,,overture:e4168212-9076-4771-8947-2e7ec7ca16a1,46249,New,,http://riverwoodlogcabins.com/,parkerhanson1956@gmail.com,,,,,,,,,Email,High,Verified,https://explore.overturemaps.org/#id=e4168212-9076-4771-8947-2e7ec7ca16a1,,domain:riverwoodlogcabins.com,14196543323,riverwoodlogcabins.com,log cabin rentals in waterville ohio,Waterville,USA,"Log Cabin Rentals in Waterville, Ohio",8568
8569,A,88,Πάρος,Greece,Riviere Residence,,resort,"Ποτάμι, Πάρος",+306936852615,1,,,High,,,,overture:79674cb9-b5dc-46e5-b0a9-f8a1ac784ad1,46249,New,,https://riviereresidence.gr/,info@riviereresidence.gr,,https://www.instagram.com/riviere_residence/,,,,,,,Email,High,Verified,https://explore.overturemaps.org/#id=79674cb9-b5dc-46e5-b0a9-f8a1ac784ad1,,domain:riviereresidence.gr,306936852615,riviereresidence.gr,riviere residence,Πάρος,Greece,Riviere Residence,8569
8570,A,88,Περιφέρεια Πελοποννήσου,Greece,Rizes Villas,,hotel,"by street, Theod. Kolokotroni, Περιφέρεια Πελοποννήσου",+306944909206,1,,,High,,,,overture:5660a5e7-83b0-4bfb-8116-2072a8e9b81b,46249,New,,https://rizesvillas.gr/,info@rizesvillas.gr,,https://www.instagram.com/rizesvillas/,,,,,,,Email,High,Verified,https://explore.overturemaps.org/#id=5660a5e7-83b0-4bfb-8116-2072a8e9b81b,,domain:rizesvillas.gr,306944909206,rizesvillas.gr,rizes villas,Περιφέρεια Πελοποννήσου,Greece,Rizes Villas,8570
8571,A,88,Λευκάδα,Greece,Rizomata Luxury Villas,,hotel,"Agios Ioannis, Λευκάδα",+306977981342,1,,,High,,,,overture:499a5e81-5e72-4d29-ad7a-3f2c53fcb972,46249,New,,https://www.rizomatavillas.com/,info@rizomatavillas.com,,,,,,,,,Email,High,Verified,https://explore.overturemaps.org/#id=499a5e81-5e72-4d29-ad7a-3f2c53fcb972,,domain:rizomatavillas.com,306977981342,rizomatavillas.com,rizomata luxury villas,Λευκάδα,Greece,Rizomata Luxury Villas,8571
8572,B,70,Bluffton,USA,Realty Management Advisors,,property_management,"1008 Fording Island Rd, Bluffton, SC",+18437062030,1,,,High,,,,overture:56404259-59d0-4a5b-bb49-b5212d7ae9a1,46249,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,https://www.rma-sc.com/,info@rma-sc.com,,https://www.instagram.com/realtymanagementadvisors/,,,,,,,Email,Medium,Recall-first,https://explore.overturemaps.org/#id=56404259-59d0-4a5b-bb49-b5212d7ae9a1,,domain:rma-sc.com,18437062030,rma-sc.com,realty management advisors,Bluffton,USA,Realty Management Advisors,8572
8573,B,70,Elk Grove,USA,RNB Property Management,,property_management,"9401 E Stockton Blvd, Elk Grove, CA",+19163060517,1,,,High,,,,overture:b1f7c98b-50e3-4a18-a096-2c2f1e00af42,46249,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://RNBElkGrove.com/,socialmedia@rnbelkgrove.com,,,,,,,,,Email,Medium,Recall-first,https://explore.overturemaps.org/#id=b1f7c98b-50e3-4a18-a096-2c2f1e00af42,,domain:rnbelkgrove.com,19163060517,rnbelkgrove.com,rnb property management,Elk Grove,USA,RNB Property Management,8573
8574,B,70,London,United Kingdom,Robert Fells Property Management,,property_management,"71 College Road, London, ENG",+442088615781,1,,,High,,,,overture:99131697-e7d0-4842-a1e7-2f19ec2e8e86,46249,New,Recall-first: plausible adjacent hospitality/STR buyer retained.,http://www.robertfellspropertymanagement.co.uk/,info@robertfellspropertymanagement.co.uk,,,,,,,,,Email,Medium,Recall-first,https://explore.overturemaps.org/#id=99131697-e7d0-4842-a1e7-2f19ec2e8e86,,domain:robertfellspropertymanagement.co.uk,442088615781,robertfellspropertymanagement.co.uk,robert fells property management,London,United Kingdom,Robert Fells Property Management,8574
