	B	78	Vilniaus apskritis	Lithuania	Comfort Villas		lodge	Obelių gatvė 31	+37063189855								overture:1adf6988-dd52-489a-9b54-0ba42036e256	2026-08-15T03:57:46Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://comfortvillas.lt/?fbclid=IwVERDUARTZD9leHRuA2FlbQIxMABzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeg-MrV2Q2K2a7E1kZYD9TtFnWIOxvNc-9O4coKoqsTLBR5q2hjZFNG2HHlTI_aem_CA6DjcBjZCg4s0S7SnuKdw	comfortvillas3@gmail.com									High	Verified	https://explore.overturemaps.org/#id=1adf6988-dd52-489a-9b54-0ba42036e256	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:1adf6988-dd52-489a-9b54-0ba42036e256	comfortvillas.lt	37063189855	comfort villas	Vilniaus apskritis	Lithuania	HIGH	domain:comfortvillas.lt
	B	78	Sint Maartensvlotbrug	Netherlands	Villapark Anzelhoef		resort	Belkmerweg 81	+31224769007								overture:8bbaff03-13a5-44d3-a3cc-69566cdc0c49	2026-08-15T03:57:46Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.anzelhoef.nl/	verhuur@anzelhoef.nl									Permissive	Qualification	https://explore.overturemaps.org/#id=8bbaff03-13a5-44d3-a3cc-69566cdc0c49	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:8bbaff03-13a5-44d3-a3cc-69566cdc0c49	anzelhoef.nl	31224769007	villapark anzelhoef	Sint Maartensvlotbrug	Netherlands	PERMISSIVE	domain:anzelhoef.nl
	B	78	Ål	Norway	Al Skisenter		ski_resort		+4797438000								overture:a3c9af45-f759-42c4-a192-8450c85d2f4b	2026-08-15T03:57:46Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.aalski.no/	post@aalski.no									Medium	Recall-first	https://explore.overturemaps.org/#id=a3c9af45-f759-42c4-a192-8450c85d2f4b	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:a3c9af45-f759-42c4-a192-8450c85d2f4b	aalski.no	4797438000	al skisenter	Ål	Norway	MEDIUM	domain:aalski.no
	B	78	Fort Lauderdale	USA	Villa Venice Men's Resort		resort	2900 Terramar St	+19545636819								overture:42521514-2ba2-444d-bc55-ece1b2843521	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.villavenice.com	villavenice@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=42521514-2ba2-444d-bc55-ece1b2843521	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:42521514-2ba2-444d-bc55-ece1b2843521	villavenice.com	19545636819	villa venice men s resort	Fort Lauderdale	USA	PERMISSIVE	domain:villavenice.com
	B	78	Kissimmee	USA	The Palms Hotel and Villas		hotel	3100 Parkway Blvd	(407) 396-2229								overture:d0962407-86bd-4b07-bca0-df7f47538527	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.thepalmshotelandvillas.com	palmshotelandvillas@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=d0962407-86bd-4b07-bca0-df7f47538527	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:d0962407-86bd-4b07-bca0-df7f47538527	thepalmshotelandvillas.com	4073962229	the palms hotel and villas	Kissimmee	USA	PERMISSIVE	domain:thepalmshotelandvillas.com
	B	78	Puerto Peñasco	Mexico	Bella Sirena Resort for Rocky Point Real Estate in Mexico		hotel	blvd costero	+526381051247								overture:87a16fc2-5e42-4a1a-bac3-effbd5837351	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.rockypointbroker.com/	rockypointbroker@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=87a16fc2-5e42-4a1a-bac3-effbd5837351	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:87a16fc2-5e42-4a1a-bac3-effbd5837351	rockypointbroker.com	526381051247	bella sirena resort for rocky point real estate in mexico	Puerto Peñasco	Mexico	PERMISSIVE	domain:rockypointbroker.com
	B	78	Red River	USA	Red River Ski Area Inc		resort	400 Pioneer Rd	(575) 754-2223								overture:673bbc06-566b-46d3-b67a-68331c7e5461	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.redriverskiarea.com	skierservices@redriverskiarea.com									Permissive	Qualification	https://explore.overturemaps.org/#id=673bbc06-566b-46d3-b67a-68331c7e5461	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:673bbc06-566b-46d3-b67a-68331c7e5461	redriverskiarea.com	5757542223	red river ski area inc	Red River	USA	PERMISSIVE	domain:redriverskiarea.com
	B	78	Tampa	USA	Ravinia Luxury Courtyard Villas		holiday_rental_home	6915 Mushinski Rd	+18139627500								overture:8aefb9d4-4a42-4d47-b570-089c703b3384	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.raviniavillas.com/	info@raviniavillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=8aefb9d4-4a42-4d47-b570-089c703b3384	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:8aefb9d4-4a42-4d47-b570-089c703b3384	raviniavillas.com	18139627500	ravinia luxury courtyard villas	Tampa	USA	PERMISSIVE	domain:raviniavillas.com
	B	78	Kissimmee	USA	TownHouse Paradise Palms		hotel	3045 Beach Palm Ave	+13214375635								overture:a27f8507-b932-4a7e-9db0-045ecf70ee46	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.plenitudevillas.com/details.aspx?PropertyID=107416	bookings@plenitudevillas.com									Permissive	Qualification	https://explore.overturemaps.org/#id=a27f8507-b932-4a7e-9db0-045ecf70ee46	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:a27f8507-b932-4a7e-9db0-045ecf70ee46	plenitudevillas.com	13214375635	townhouse paradise palms	Kissimmee	USA	PERMISSIVE	domain:plenitudevillas.com
	B	78	St Pete Beach	USA	Pasa Tiempo Waterfront Resort		resort	7141 Bay St	+17273679907								overture:e5f3e163-1491-43a4-9d88-f0142623f79d	2026-08-15T03:22:35Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.pasa-tiempo.com/	pasatiempowaterfrontresort@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=e5f3e163-1491-43a4-9d88-f0142623f79d	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:e5f3e163-1491-43a4-9d88-f0142623f79d	pasa-tiempo.com	17273679907	pasa tiempo waterfront resort	St Pete Beach	USA	PERMISSIVE	domain:pasa-tiempo.com
