	B	78	Αθήνα	Greece	Acropolis View Deluxe Penthouse & Luxury Apartments - Travelvibes		hotel	Φαλήρου 3	+302130994964								overture:8c380c63-56c7-4d03-bccf-beebe492bb63	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://travelvibes.gr/	reservations@travelvibes.gr	http://travelvibes.gr/about-us/	https://www.instagram.com/travelvibes_luxury_apartments/	https://www.facebook.com/TravelvibesLuxuryApartments/		http://travelvibes.gr/accommodation/				Medium	Recall-first	https://explore.overturemaps.org/#id=8c380c63-56c7-4d03-bccf-beebe492bb63; http://travelvibes.gr/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:8c380c63-56c7-4d03-bccf-beebe492bb63	travelvibes.gr	302130994964	acropolis view deluxe penthouse luxury apartments travelvibes	Αθήνα	Greece	MEDIUM	domain:travelvibes.gr
	B	78	Whitstable	United Kingdom	To Tuscany		vacation_rental_agent	Clover House, 1 Thanet Way	03301242148								overture:c1134366-97ad-432a-934a-a1b783d6399b	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.to-tuscany.com/	team@to-tuscany.com	https://www.to-tuscany.com/about-us/	https://www.instagram.com/to_tuscany/	https://www.facebook.com/ToTuscanyUSA/		https://www.to-tuscany.com/chianti-villas				High	Verified	https://explore.overturemaps.org/#id=c1134366-97ad-432a-934a-a1b783d6399b; https://www.to-tuscany.com/; https://www.to-tuscany.com/contact-us/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:c1134366-97ad-432a-934a-a1b783d6399b	to-tuscany.com	03301242148	to tuscany	Whitstable	United Kingdom	HIGH	domain:to-tuscany.com
	B	78	Stratford-Upon-Avon	United Kingdom	The Welcombe Hotel, BW Premier Collection		resort	Warwick Road	03300283422								overture:5323751f-f492-4cbc-afa3-86c5a828ffbb	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://thewelcombehotel.co.uk/	info@thewelcombehotel.co.uk	https://thewelcombehotel.co.uk/contact/	https://www.instagram.com/thewelcombe/	https://www.facebook.com/TheWelcombe/		https://thewelcombehotel.co.uk/our-rooms/				High	Verified	https://explore.overturemaps.org/#id=5323751f-f492-4cbc-afa3-86c5a828ffbb; https://thewelcombehotel.co.uk/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:5323751f-f492-4cbc-afa3-86c5a828ffbb	thewelcombehotel.co.uk	03300283422	the welcombe hotel bw premier collection	Stratford-Upon-Avon	United Kingdom	HIGH	domain:thewelcombehotel.co.uk
	B	78	Hospitalet De Llobregat	Spain	Tecnocasa Can Serra agencia inmobiliaria		vacation_rental_agent	avenida De La Electricitat 2	934373057								overture:7b8d1806-6c17-4f16-8778-3924e5a7bb47	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://hospitaletdellobregat13.tecnocasa.es/	babdf@tecnocasa.es	https://www.tecnocasa.es/contacta/sedes.html	https://www.instagram.com/tecnocasacanserra/	https://www.facebook.com/grupotecnocasa/	https://wa.me/+34636568901					Permissive	Qualification	https://explore.overturemaps.org/#id=7b8d1806-6c17-4f16-8778-3924e5a7bb47; https://hospitaletdellobregat13.tecnocasa.es/hospitaletdellobregat/canserra-canvidalet/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:7b8d1806-6c17-4f16-8778-3924e5a7bb47	tecnocasa.es	934373057	tecnocasa can serra agencia inmobiliaria	Hospitalet De Llobregat	Spain	PERMISSIVE	domain:tecnocasa.es
	B	78	Begur	Spain	Sweet Home Costa Brava - Agencia inmobiliaria Begur		vacation_rental_agent	Plaça Forgas	654665360								overture:d7a451c0-1ce0-4cde-8c88-b4cbe738ff4b	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.sweethomecostabrava.com/	info@sweethomecostabrava.com	https://www.sweethomecostabrava.com/contacto/	https://www.instagram.com/sweethomecostabrava/	https://www.facebook.com/sweethomecostabrava/		https://www.sweethomecostabrava.com/wp-content/plugins/wp-simple-booking-calendar-premium/assets/css/style-front-end.min.css?ver=8.5.2				High	Verified	https://explore.overturemaps.org/#id=d7a451c0-1ce0-4cde-8c88-b4cbe738ff4b; https://www.sweethomecostabrava.com/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:d7a451c0-1ce0-4cde-8c88-b4cbe738ff4b	sweethomecostabrava.com	654665360	sweet home costa brava agencia inmobiliaria begur	Begur	Spain	HIGH	domain:sweethomecostabrava.com
	B	78	Avon	USA	Sun Realty		vacation_rental_agent	41838 Highway 12	2529955865								overture:24aa0931-c2e8-4111-a2b6-47378a74e14f	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.sunrealtync.com/	kdh@sunrealtync.com	https://www.sunrealtync.com/about-us	https://www.instagram.com/sunrealtync/	https://www.facebook.com/sunrealtync/		https://www.sunrealtync.com/vacation-rentals-outer-banks-north-carolina-towns-and-villages				High	Verified	https://explore.overturemaps.org/#id=24aa0931-c2e8-4111-a2b6-47378a74e14f; https://www.sunrealtync.com/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:24aa0931-c2e8-4111-a2b6-47378a74e14f	sunrealtync.com	2529955865	sun realty	Avon	USA	HIGH	domain:sunrealtync.com
	B	78	Sutton	United Kingdom	South France Villas		hotel	2 Villiers Ct Unit 2	020 7060 5414								overture:75d2d946-4525-42a5-952c-ca51bc25a338	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.southfrancevillas.com	info@southfrancevillas.com	https://www.southfrancevillas.com/about-us/	https://www.instagram.com/SouthFranceVillas/	https://www.facebook.com/pages/South-France-Villas/151655584854354/		https://www.southfrancevillas.com/booking-conditions				High	Verified	https://explore.overturemaps.org/#id=75d2d946-4525-42a5-952c-ca51bc25a338; https://www.southfrancevillas.com/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:75d2d946-4525-42a5-952c-ca51bc25a338	southfrancevillas.com	02070605414	south france villas	Sutton	United Kingdom	HIGH	domain:southfrancevillas.com
	B	78	Banff	Canada	SkiBig3 - Head Office		ski_resort	215 Banff Avenue, Suite 207	8447542443								overture:f6587dcb-9443-4c57-88cb-31e9483c923b	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.skibig3.com/?utm_source=General+Visitation&utm_medium=All&utm_campaign=Main+Site+Analytics	info@skibig3.com	https://www.skibig3.com/contact-us/	https://www.instagram.com/skibig3/	https://www.facebook.com/SkiBig3/	https://wa.me/18447542443					High	Verified	https://explore.overturemaps.org/#id=f6587dcb-9443-4c57-88cb-31e9483c923b; https://www.skibig3.com/?utm_source=General+Visitation&utm_medium=All&utm_campaign=Main+Site+Analytics; https://www.skibig3.com/contact-us/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:f6587dcb-9443-4c57-88cb-31e9483c923b	skibig3.com	8447542443	skibig3 head office	Banff	Canada	HIGH	domain:skibig3.com
	B	78	Potter Heigham	United Kingdom	Melrose Holiday Cottage (Sleeps 6)		vacation_rental_agent	Plot 85A North West Riverbank	01493368300								overture:bb19b3c7-6604-43dc-a8ce-3557d1b8008c	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.riverside-rentals.co.uk/norfolk-broads-holiday-cottages/melrose	info@riverside-rentals.co.uk	https://www.riverside-rentals.co.uk/about-us/	https://www.instagram.com/riversiderentals/	https://www.facebook.com/riversiderentals/		https://www.riverside-rentals.co.uk/properties/cottages/				High	Verified	https://explore.overturemaps.org/#id=bb19b3c7-6604-43dc-a8ce-3557d1b8008c; https://www.riverside-rentals.co.uk/property/melrose/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:bb19b3c7-6604-43dc-a8ce-3557d1b8008c	riverside-rentals.co.uk	01493368300	melrose holiday cottage sleeps 6	Potter Heigham	United Kingdom	HIGH	domain:riverside-rentals.co.uk
	B	78	Bath	United Kingdom	Ashley Villa Guest House		hotel	26 Newbridge Road	+441225313604								overture:47f8e27d-4b48-4fbf-a992-48128a065907	2026-08-15T13:57:19.273253Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.queensberryestates.co.uk/ashley-villa/	info@queensberryestates.co.uk	https://www.queensberryestates.co.uk/contact-us/	https://www.instagram.com/queensberry_estates_bath/	https://www.facebook.com/profile.php/		https://www.queensberryestates.co.uk/our-properties/				High	Verified	https://explore.overturemaps.org/#id=47f8e27d-4b48-4fbf-a992-48128a065907; https://www.queensberryestates.co.uk/ashley-villa/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:47f8e27d-4b48-4fbf-a992-48128a065907	queensberryestates.co.uk	441225313604	ashley villa guest house	Bath	United Kingdom	HIGH	domain:queensberryestates.co.uk
