	B	78	Laion	Italy	St. Peter Lajen, Prantschurhof		ski_resort		+390471655653								overture:4947ab1a-f7bd-4cb6-a773-6315c85c5f10	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.prantschur.it/			https://www.instagram.com/prantschurhof/							Permissive	Qualification	https://explore.overturemaps.org/#id=4947ab1a-f7bd-4cb6-a773-6315c85c5f10; http://www.prantschur.it/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:4947ab1a-f7bd-4cb6-a773-6315c85c5f10	prantschur.it	390471655653	st peter lajen prantschurhof	Laion	Italy	PERMISSIVE	domain:prantschur.it
	B	78	Kościelisko	Poland	Polana Resort - LoftAffair Collection		resort	ulica Chotarz Bór 14	+48798822322								overture:00b94241-4129-4bb1-b226-bdc72722c4a3	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://polanaresort.pl/		http://polanaresort.pl/contact								Medium	Recall-first	https://explore.overturemaps.org/#id=00b94241-4129-4bb1-b226-bdc72722c4a3	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:00b94241-4129-4bb1-b226-bdc72722c4a3	polanaresort.pl	48798822322	polana resort loftaffair collection	Kościelisko	Poland	MEDIUM	domain:polanaresort.pl
	B	78	Alijó	Portugal	Quinta do Poeira		vacation_rental_agent	Quinta do Poeira, Provesende	937845270								overture:63f186ec-b76c-4c5a-b83a-acd57d2e11b2	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.poeira.pt/		https://www.poeira.pt/contactos/								Permissive	Qualification	https://explore.overturemaps.org/#id=63f186ec-b76c-4c5a-b83a-acd57d2e11b2	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:63f186ec-b76c-4c5a-b83a-acd57d2e11b2	poeira.pt	937845270	quinta do poeira	Alijó	Portugal	PERMISSIVE	domain:poeira.pt
	B	78	Wieliczka	Poland	Podstolice-Ski Ośrodek Narciarsko Rekreacyjny		ski_resort	Podstolice 260	+48664294015								overture:0297cf04-e2a5-4efe-b4cd-d823ed540c24	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.podstolice-ski.pl/				https://www.facebook.com/podstolice.ski/						Permissive	Qualification	https://explore.overturemaps.org/#id=0297cf04-e2a5-4efe-b4cd-d823ed540c24; https://www.podstolice-ski.pl/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:0297cf04-e2a5-4efe-b4cd-d823ed540c24	podstolice-ski.pl	48664294015	podstolice ski osrodek narciarsko rekreacyjny	Wieliczka	Poland	PERMISSIVE	domain:podstolice-ski.pl
	B	78	Bad Ragaz	Switzerland	Skigebiet Pizol		ski_resort	Loisstrasse 50	081 300 48 30								overture:0d3fd67d-b7cd-4e06-af1e-d941e49f580b	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://pizol.ch			https://www.instagram.com/pizolbahnen/							Medium	Recall-first	https://explore.overturemaps.org/#id=0d3fd67d-b7cd-4e06-af1e-d941e49f580b; https://pizol.com/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:0d3fd67d-b7cd-4e06-af1e-d941e49f580b	pizol.ch	0813004830	skigebiet pizol	Bad Ragaz	Switzerland	MEDIUM	domain:pizol.ch
	B	78	Küblis	Switzerland	Davos / Klosters		ski_resort		+41814176767								overture:7b7635a3-95d2-4853-b5da-c57ec65c2b44	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.pischa.ch			https://www.instagram.com/davosklostersmountains/							High	Verified	https://explore.overturemaps.org/#id=7b7635a3-95d2-4853-b5da-c57ec65c2b44; https://www.davosklostersmountains.ch/de/mountains/berge/pischa	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:7b7635a3-95d2-4853-b5da-c57ec65c2b44	pischa.ch	41814176767	davos klosters	Küblis	Switzerland	HIGH	domain:pischa.ch
	B	78	Fiss	Austria	Pinzgerhof		vacation_rental_agent	Winkel 8	054766402								overture:bd634e04-1333-4255-800e-5adbd0a93590	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.pinzgerhof-fiss.at/	info@pinzgerhof-fiss.at									Permissive	Qualification	https://explore.overturemaps.org/#id=bd634e04-1333-4255-800e-5adbd0a93590; https://www.pinzgerhof-fiss.at/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference. Public business email recovered from first-party website; no inference.				overture:bd634e04-1333-4255-800e-5adbd0a93590	pinzgerhof-fiss.at	054766402	pinzgerhof	Fiss	Austria	PERMISSIVE	domain:pinzgerhof-fiss.at
	B	78	Indian River Shores	USA	Pebble Beach Villas Condo		holiday_rental_home	5100 Highway A1a	+17724928205								overture:5cb7ff9e-e3c9-4cdb-9a25-9b582d8fe0c0	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.pebblebeachabodes.com/		https://www.pebblebeachabodes.com/about								Permissive	Qualification	https://explore.overturemaps.org/#id=5cb7ff9e-e3c9-4cdb-9a25-9b582d8fe0c0	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:5cb7ff9e-e3c9-4cdb-9a25-9b582d8fe0c0	pebblebeachabodes.com	17724928205	pebble beach villas condo	Indian River Shores	USA	PERMISSIVE	domain:pebblebeachabodes.com
	B	78	Siror	Italy	Ski Area Passo Rolle		ski_resort	via passo rolle	+390462502509								overture:6250e535-ced7-4eb8-bfd5-7f1b0789c712	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.passorolleonline.com/		https://passorolleonline.com/contact-us/								Medium	Recall-first	https://explore.overturemaps.org/#id=6250e535-ced7-4eb8-bfd5-7f1b0789c712	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:6250e535-ced7-4eb8-bfd5-7f1b0789c712	passorolleonline.com	390462502509	ski area passo rolle	Siror	Italy	MEDIUM	domain:passorolleonline.com
	B	78	Bobbio	Italy	Passo del Penice		ski_resort	Località Passo Penice, 1	+390523962815								overture:d38ac1ef-fadf-4c07-9e3e-967ccc5b0d3d	2026-08-15T14:16:16.296920Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.passopenice.it/				https://www.facebook.com/PASSO-Penice-SCI-208713559302359/						Permissive	Qualification	https://explore.overturemaps.org/#id=d38ac1ef-fadf-4c07-9e3e-967ccc5b0d3d; https://www.passopenice.it/it/	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:d38ac1ef-fadf-4c07-9e3e-967ccc5b0d3d	passopenice.it	390523962815	passo del penice	Bobbio	Italy	PERMISSIVE	domain:passopenice.it
