	B	78	Gatlinburg	USA	America's Cabins		vacation_rental_agent	1235 E Pkwy Ste 8	8009007717								overture:3b8e1322-7033-4bd4-a14e-eec5718c4230	2026-08-15T13:43:33.049860Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.americascabins.com/										High	Verified	https://explore.overturemaps.org/#id=3b8e1322-7033-4bd4-a14e-eec5718c4230	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:3b8e1322-7033-4bd4-a14e-eec5718c4230	americascabins.com	8009007717	america s cabins	Gatlinburg	USA	HIGH	domain:americascabins.com
	B	78	Gatlinburg	USA	Villas Of Gatlinburg		hotel	201 Parkway	+18654364121								overture:e119acdf-639f-47af-be5c-ec917e6eab2b	2026-08-15T13:43:33.049860Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.abcgatlinburg.com										Permissive	Qualification	https://explore.overturemaps.org/#id=e119acdf-639f-47af-be5c-ec917e6eab2b	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:e119acdf-639f-47af-be5c-ec917e6eab2b	abcgatlinburg.com	18654364121	villas of gatlinburg	Gatlinburg	USA	PERMISSIVE	domain:abcgatlinburg.com
	B	78	World-Atlas::japan-korea::19-64	Japan	自由屋 サマーゲレンデ		ski_resort	岩手県									overture:c3a0c019-d156-4ae1-ae12-90e7dbb6fbeb	2026-08-15T10:11:28.239500Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://jiyu-ya.amebaownd.com/	180method@gmail.com									Permissive	Qualification	https://explore.overturemaps.org/#id=c3a0c019-d156-4ae1-ae12-90e7dbb6fbeb	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:c3a0c019-d156-4ae1-ae12-90e7dbb6fbeb	amebaownd.com			World-Atlas::japan-korea::19-64	Japan	PERMISSIVE	domain:amebaownd.com
	B	78	南都留郡西桂町	Japan	Vision Glamping Resort & Spa Yamanakako		lodge	山中湖村山中字栗木林1385-43									overture:96f8c5fe-7c98-4cb9-84cd-a2bfa45d68ac	2026-08-15T10:07:29.305340Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://vision-glamping.com/yamanakako?utm_source=facebook&utm_medium=social&utm_campaign=profile	info@vision-glamping.com									High	Verified	https://explore.overturemaps.org/#id=96f8c5fe-7c98-4cb9-84cd-a2bfa45d68ac	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:96f8c5fe-7c98-4cb9-84cd-a2bfa45d68ac	vision-glamping.com		vision glamping resort spa yamanakako	南都留郡西桂町	Japan	HIGH	domain:vision-glamping.com
	B	78	旭川市	Japan	Hokkaido Powder Belt		ski_resort										overture:cbd17476-62bb-42d6-a641-4e476b4bf823	2026-08-15T10:07:29.305340Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://hokkaido-powder-belt.jp/	ticket@hokkaido-powder-belt.jp									Permissive	Qualification	https://explore.overturemaps.org/#id=cbd17476-62bb-42d6-a641-4e476b4bf823	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:cbd17476-62bb-42d6-a641-4e476b4bf823	hokkaido-powder-belt.jp		hokkaido powder belt	旭川市	Japan	PERMISSIVE	domain:hokkaido-powder-belt.jp
	B	78	Amphoe Muang Phuket	Thailand	Jindarin Beach Villas		hotel	#1 Soi Maphrao									overture:40d01d37-d379-4124-a350-09f70948cd92	2026-08-15T09:48:31.256980Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.jindarin.com/	niunui@me.com									High	Verified	https://explore.overturemaps.org/#id=40d01d37-d379-4124-a350-09f70948cd92	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:40d01d37-d379-4124-a350-09f70948cd92	jindarin.com		jindarin beach villas	Amphoe Muang Phuket	Thailand	HIGH	domain:jindarin.com
	B	78	Pec pod Sněžkou	Czechia	Pec pod Sněžkou Info		ski_resort	Velká Úpa 193									overture:2f56ecf8-f710-4936-bfc5-8ef360107dbd	2026-08-15T04:23:11Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.zijeme.snezkou.cz/	jabr@pod.snezkou.cz									Permissive	Qualification	https://explore.overturemaps.org/#id=2f56ecf8-f710-4936-bfc5-8ef360107dbd	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:2f56ecf8-f710-4936-bfc5-8ef360107dbd	snezkou.cz		pec pod snezkou info	Pec pod Sněžkou	Czechia	PERMISSIVE	domain:snezkou.cz
	B	78	Przywidz	Poland	Wyciąg Przywidz		ski_resort	Tartaczna									overture:20f98ce9-6fee-4c19-beaa-7d73943f8b13	2026-08-15T04:23:11Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.nartyprzywidz.pl/	info@nartyprzywidz.pl									Permissive	Qualification	https://explore.overturemaps.org/#id=20f98ce9-6fee-4c19-beaa-7d73943f8b13	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:20f98ce9-6fee-4c19-beaa-7d73943f8b13	nartyprzywidz.pl		wyciag przywidz	Przywidz	Poland	PERMISSIVE	domain:nartyprzywidz.pl
	B	78	Vaasa	Finland	Öjberget A-Backen		ski_resort	Öjbergintie 11									overture:ab0e2108-2590-4240-8bee-8f0d56f36b99	2026-08-15T04:02:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.vaasa.fi/ojbergetin-talviurheilukeskus	ojberget@vaasa.fi									Permissive	Qualification	https://explore.overturemaps.org/#id=ab0e2108-2590-4240-8bee-8f0d56f36b99	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:ab0e2108-2590-4240-8bee-8f0d56f36b99	vaasa.fi		ojberget a backen	Vaasa	Finland	PERMISSIVE	domain:vaasa.fi
	B	78	Skien	Norway	IF Ørn - Jarseng Skianlegg		ski_resort	Jarsengvegen 150									overture:5993a105-6ce1-450b-ae8b-8cdb995b1480	2026-08-15T04:02:12Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.iforn.no/	info@iforn.no									Permissive	Qualification	https://explore.overturemaps.org/#id=5993a105-6ce1-450b-ae8b-8cdb995b1480	Public Overture site+email; zero-HTTP V6 cheap-screen. Final MASTER dedupe/QA required.				overture:5993a105-6ce1-450b-ae8b-8cdb995b1480	iforn.no		if rn jarseng skianlegg	Skien	Norway	PERMISSIVE	domain:iforn.no
