	B	78		France	Hotel Jules César		hotel										Q47786489	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.hotel-julescesar.fr/	commercial@hotel-julescesar.fr	https://hotel-julescesar.fr/fr/page/contact-hotel-jules-cesar-hotel-5-arles.23731.html				https://hotel-julescesar.fr/fr/book.html				High	Verified	http://www.wikidata.org/entity/Q47786489; https://hotel-julescesar.fr/	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856. Public business email recovered from first-party website; no inference.				q47786489	hotel-julescesar.fr		hotel jules cesar		France	HIGH	domain:hotel-julescesar.fr
	B	78		France	Mas de Malherbes		hotel										Q17520947	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://www.grandmalherbes.com/	contact@grandmalherbes.com	https://grandmalherbes.com/contact				https://grandmalherbes.com/chambres-suites				High	Verified	http://www.wikidata.org/entity/Q17520947; https://grandmalherbes.com/	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856. Public business email recovered from first-party website; no inference.				q17520947	grandmalherbes.com		mas de malherbes		France	HIGH	domain:grandmalherbes.com
	B	78		France	Grand Hotel du Midi		hotel										Q57506201	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.grandhoteldumidimontpellier.com/		https://www.grandhoteldumidimontpellier.com/module/FormReservation/css/form_dt_open_v2.min.css	https://www.instagram.com/grandhoteldumidi/	https://www.facebook.com/GrandHotelDuMidi/						Medium	Recall-first	http://www.wikidata.org/entity/Q57506201; https://www.grandhoteldumidimontpellier.com/fr	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856.				q57506201	grandhoteldumidimontpellier.com		grand hotel du midi		France	MEDIUM	domain:grandhoteldumidimontpellier.com
	B	78		France	FIAP Jean Monnet		hotel										Q111113693	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.fiap.paris/		https://www.fiap.paris/reservations/	https://www.instagram.com/fiap_paris/			https://www.fiap.paris/en/booking/				Medium	Recall-first	http://www.wikidata.org/entity/Q111113693; https://www.fiap.paris/	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856.				q111113693	fiap.paris		fiap jean monnet		France	MEDIUM	domain:fiap.paris
	B	78		France	Q83715123		hotel										Q83715123	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://chateaudelaferriere.com	chateaudelaferriere@gmail.com	https://www.chateaudelaferriere.com/contact-2/	https://www.instagram.com/chateaudelaferriere/							Permissive	Qualification	http://www.wikidata.org/entity/Q83715123; https://www.chateaudelaferriere.com/contact-2/	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856. Public business email recovered from first-party website; no inference.				q83715123	chateaudelaferriere.com		q83715123		France	PERMISSIVE	domain:chateaudelaferriere.com
	B	78	Белокуриха	RU	Горнолыжный комплекс Благодать		ski_resort	улица Славского 77	+79635003806								overture:880c1614-6ee1-4681-bcf5-714bccc6e8b8	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	http://blagodat22.ru/		https://blagodat22.ru/booking				https://blagodat22.ru/booking				Permissive	Qualification	https://explore.overturemaps.org/#id=880c1614-6ee1-4681-bcf5-714bccc6e8b8	Public Overture website; no usable Overture email. First-party public contact crawl required; no inference.				overture:880c1614-6ee1-4681-bcf5-714bccc6e8b8	blagodat22.ru	79635003806		Белокуриха	RU	PERMISSIVE	domain:blagodat22.ru
	B	78		France	Hotel  La Villefromoy		hotel										Q111110786	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://villefromoy.com	contact@villefromoy.com		https://www.instagram.com/hotel_la_villefromoy/	https://www.facebook.com/hotellavillefromoy.saintmalo/						High	Verified	http://www.wikidata.org/entity/Q111110786; https://villefromoy.com/; https://villefromoy.com	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856. Public business email recovered from first-party website; no inference.				q111110786	villefromoy.com		hotel la villefromoy		France	HIGH	domain:villefromoy.com
	B	78		France	Villa Orangère		hotel										Q106829479	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://www.villaorangere.com/nederlands.htm	info@villaorangere.com	https://www.villaorangere.com/index.htm		https://www.facebook.com/pages/Villa-Orang%C3%A8re/610950305616808/						Medium	Recall-first	http://www.wikidata.org/entity/Q106829479; https://www.villaorangere.com/index.htm; https://www.villaorangere.com/nederlands.htm	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856. Public business email recovered from first-party website; no inference.				q106829479	villaorangere.com		villa orangere		France	MEDIUM	domain:villaorangere.com
	B	78		France	Château des Vigiers		resort										Q83723367	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://vigiers.com		https://vigiers.com/fr/hotel-dordogne/contact-globale-fr.php	https://www.instagram.com/chateaudesvigiers/	https://www.facebook.com/chateaudesvigiers/						High	Verified	http://www.wikidata.org/entity/Q83723367; https://vigiers.com/index.php	Wikidata structured evidence; country=Q142; class=Q875157; official website property P856.				q83723367	vigiers.com		chateau des vigiers		France	HIGH	domain:vigiers.com
	B	78		France	Q19947573		hotel										Q19947573	2026-08-16T19:58:38.267629Z		Canonical queue drain | fit B | GitHub MASTER dedupe passed	https://refugedematalza.com/		https://refugedematalza.com/contact/	https://www.instagram.com/matalza/	https://www.facebook.com/refugedematalza/						Permissive	Qualification	http://www.wikidata.org/entity/Q19947573; https://refugedematalza.com/	Wikidata structured evidence; country=Q142; class=Q27686; official website property P856.				q19947573	refugedematalza.com		q19947573		France	PERMISSIVE	domain:refugedematalza.com
