6134	B	78	Costa Mesa	USA	Genuine Property Management		property_management	1922 Placentia Ave, Costa Mesa, CA	+19492099494	1			High				overture:142779fa-e93f-4baf-b30a-3ae407bc2500	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.genuinemanaged.com/	care@genuinemanaged.com									Medium	Recall-first	https://explore.overturemaps.org/#id=142779fa-e93f-4baf-b30a-3ae407bc2500			domain:genuinemanaged.com	19492099494	genuinemanaged.com	genuine property management	Costa Mesa	USA	Genuine Property Management	6134
6135	A	91	Green Valley Lake	USA	Get Lost Inn Vacation Rentals		cabin	33220 Maple Ln, Green Valley Lake, CA	+19092578759	1			High				overture:1a17fdc2-f0af-4a39-88ed-a9bea5cd0900	2026-08-15	New		http://www.getlostinn.com/	getlostinn@gmail.com		https://www.instagram.com/getlostinn2/							Medium	Verified	https://explore.overturemaps.org/#id=1a17fdc2-f0af-4a39-88ed-a9bea5cd0900			domain:getlostinn.com	19092578759	getlostinn.com	get lost inn vacation rentals	Green Valley Lake	USA	Get Lost Inn Vacation Rentals	6135
6136	B	78	Calgary	Canada	GIL Property Management and Sales		property_management	12 Royal Vista Way NW, Calgary, AB	+14032663550	1			High				overture:7016e839-b055-4462-91b4-943dcb54071e	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.gilprop.com/	info@gilprop.com									Medium	Recall-first	https://explore.overturemaps.org/#id=7016e839-b055-4462-91b4-943dcb54071e			domain:gilprop.com	14032663550	gilprop.com	gil property management and sales	Calgary	Canada	GIL Property Management and Sales	6136
6137	A	91	Lahaina	USA	Going Maui Condo Rentals - Oceanfront Vacation Condos		holiday_rental_home	4327 Lower Honoapiilani Rd, Lahaina, HI	+16514647288	1			High				overture:99518af6-5810-456f-bb3b-a891d67b17f0	2026-08-15	New		http://www.goingmaui.com/	goingmaui@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=99518af6-5810-456f-bb3b-a891d67b17f0			domain:goingmaui.com	16514647288	goingmaui.com	going maui condo rentals oceanfront vacation condos	Lahaina	USA	Going Maui Condo Rentals - Oceanfront Vacation Condos	6137
6138	B	78	Fontana	USA	Golden California Property Management		property_management	7950 Cherry Ave, Fontana, CA	+19094292120	1			High				overture:b0d9b3ff-3a5c-4685-98d3-e4f2dce3ec10	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldencaliforniapropertymanagement.com/vacancies	hart39906@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b0d9b3ff-3a5c-4685-98d3-e4f2dce3ec10			domain:goldencaliforniapropertymanagement.com	19094292120	goldencaliforniapropertymanagement.com	golden california property management	Fontana	USA	Golden California Property Management	6138
6139	B	78	San Bernardino	USA	Golden Property Management		real_estate_agent	2130 N Arrowhead Ave Ste 105H, San Bernardino, CA	(909) 475-9053	1			High				overture:a4388d06-efcd-4366-8c43-c4a1dc454922	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldenpropertymanagement.net	nathanielblake@hotmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=a4388d06-efcd-4366-8c43-c4a1dc454922			domain:goldenpropertymanagement.net	9094759053	goldenpropertymanagement.net	golden property management	San Bernardino	USA	Golden Property Management	6139
6140	B	78	San Diego	USA	Gold Key Property Management - San Diego Property Management		property_management	3011 Grape St, San Diego, CA	+16198949153	1			High				overture:a04528c8-37b4-4160-864f-a45e3e925bc8	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldkeysandiego.com/	info@goldkeysandiego.com		https://www.instagram.com/goldkeypropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=a04528c8-37b4-4160-864f-a45e3e925bc8			domain:goldkeysandiego.com	16198949153	goldkeysandiego.com	gold key property management san diego property management	San Diego	USA	Gold Key Property Management - San Diego Property Management	6140
6141	B	78	Killeen	USA	Gold Medal Property Management		property_management	1002 E Elms Rd, Killeen, TX	+12542132131	1			High				overture:666df26a-7d53-4a87-bdbd-3523e275dc1a	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldmedalrentals.com/	info@goldmedalrentals.com									Medium	Recall-first	https://explore.overturemaps.org/#id=666df26a-7d53-4a87-bdbd-3523e275dc1a			domain:goldmedalrentals.com	12542132131	goldmedalrentals.com	gold medal property management	Killeen	USA	Gold Medal Property Management	6141
6142	B	78	Arcadia	USA	Gold Star Property Management		property_management	33 E Huntington Dr, Arcadia, CA	+16264085164	1			High				overture:33ffea96-aaa4-46fa-9b08-33916092e657	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://goldstarmgmtllc.com/	goldstarmgmtllc@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=33ffea96-aaa4-46fa-9b08-33916092e657			domain:goldstarmgmtllc.com	16264085164	goldstarmgmtllc.com	gold star property management	Arcadia	USA	Gold Star Property Management	6142
6143	A	88	Greenview No 16	Canada	Nitehawk Year-Round Adventure Park		ski_resort	6356 Township Road 702A, Greenview No 16, AB	+17805326637	1			High				overture:fbbfa53d-d8d6-4437-b46c-48e155addebf	2026-08-15	New		http://www.gonitehawk.com/	info@gonitehawk.com		https://www.instagram.com/gonitehawk/							High	Verified	https://explore.overturemaps.org/#id=fbbfa53d-d8d6-4437-b46c-48e155addebf			domain:gonitehawk.com	17805326637	gonitehawk.com	nitehawk year round adventure park	Greenview No 16	Canada	Nitehawk Year-Round Adventure Park	6143
6144	B	78	San Diego	USA	Good Life Property Management		property_management	5252 Balboa Ave, San Diego, CA	+18582074595	1			High				overture:e972e2e8-855d-4b12-8032-609a6fda5e44	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://goodlifemgmt.com/	info@goodlifemgmt.com		https://www.instagram.com/goodlifepropertymgmt/							Medium	Recall-first	https://explore.overturemaps.org/#id=e972e2e8-855d-4b12-8032-609a6fda5e44			domain:goodlifemgmt.com	18582074595	goodlifemgmt.com	good life property management	San Diego	USA	Good Life Property Management	6144
6145	A	88	Σίφνος	Greece	Elisso Villas		hotel	Σίφνος	+306945067561	1			High				overture:8cc370db-ff60-45ed-84db-7aaffd94d46f	2026-08-15	New		https://sites.google.com/view/elissovillassifnos	elissovillas@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=8cc370db-ff60-45ed-84db-7aaffd94d46f			phone:306945067561	306945067561		elisso villas	Σίφνος	Greece	Elisso Villas	6145
6146	B	78	Bossier City	USA	Gosslee Property Management		property_management	2146 Airline Dr, Bossier City, LA	+13187478469	1			High				overture:8722342e-985c-4ab6-bcc2-777b363a59a1	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://gossleeproperties.com/	rentals@gossleeproperties.com		https://www.instagram.com/gossleepropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=8722342e-985c-4ab6-bcc2-777b363a59a1			domain:gossleeproperties.com	13187478469	gossleeproperties.com	gosslee property management	Bossier City	USA	Gosslee Property Management	6146
6147	B	78	Grande Prairie	Canada	Prime Property Management		property_management	10126 97 Ave, Grande Prairie, AB	+17805382980	1			High				overture:3e2137bf-99b4-48b4-84c2-8d3df14d93f0	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.gpprime.net/	leasing@gpprime.net		https://www.instagram.com/primepropertymanagementgp/							Medium	Recall-first	https://explore.overturemaps.org/#id=3e2137bf-99b4-48b4-84c2-8d3df14d93f0			domain:gpprime.net	17805382980	gpprime.net	prime property management	Grande Prairie	Canada	Prime Property Management	6147
6148	A	88	Whitefish	Canada	Great Northern Powder Guides		ski_resort	19 E 2nd St, Whitefish, MT	+14068812032	1			High				overture:425019a7-2a00-4dfb-b165-67efc84a5a7d	2026-08-15	New		http://www.greatnorthernpowderguides.com/rates.php	info@greatnorthernpowderguides.com		https://www.instagram.com/greatnorthernpowder/							High	Verified	https://explore.overturemaps.org/#id=425019a7-2a00-4dfb-b165-67efc84a5a7d			domain:greatnorthernpowderguides.com	14068812032	greatnorthernpowderguides.com	great northern powder guides	Whitefish	Canada	Great Northern Powder Guides	6148
6149	B	78	San Diego	USA	Green Street Property Management		property_management	1228 University Ave, San Diego, CA	+18587751684	1			High				overture:ea6e90ed-5952-4e0f-93c4-09883f485357	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.greenstreetpropertymanagement.com/	info@greenstreetpropertymanagement.com									Medium	Recall-first	https://explore.overturemaps.org/#id=ea6e90ed-5952-4e0f-93c4-09883f485357			domain:greenstreetpropertymanagement.com	18587751684	greenstreetpropertymanagement.com	green street property management	San Diego	USA	Green Street Property Management	6149
6150	A	91	Columbia-Shuswap	Canada	Griffin Lake Cabin Rentals		cabin	7776 Trans Canada Hwy, Columbia-Shuswap, BC V0E, Canada	+17809075328	1			High				overture:bcb02c87-fdfc-4d2f-ac29-b9c580ca2f18	2026-08-15	New		https://www.griffinlakecabins.com/	griffinlakecabins@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=bcb02c87-fdfc-4d2f-ac29-b9c580ca2f18			domain:griffinlakecabins.com	17809075328	griffinlakecabins.com	griffin lake cabin rentals	Columbia-Shuswap	Canada	Griffin Lake Cabin Rentals	6150
6151	A	88	District of North Vancouver	Canada	Grouse Mountain		ski_resort	6400 Nancy Greene Way, District of North Vancouver	+16049809311	1			High				overture:1cbe17f8-52cd-46af-824d-9b32c9674ccb	2026-08-15	New		https://www.grousemountain.com	guestservices@grousemountain.com		https://www.instagram.com/grousemountain/							High	Verified	https://explore.overturemaps.org/#id=1cbe17f8-52cd-46af-824d-9b32c9674ccb			domain:grousemountain.com	16049809311	grousemountain.com	grouse mountain	District of North Vancouver	Canada	Grouse Mountain	6151
