file	line	dedupe_key	domain	phone_norm	name_norm	market	country	name	category	address	website	public_email	public_phone	contact_page	instagram	facebook	whatsapp	portfolio_url	source_url	overture_id	fit	operator_score	premium_score	live_status	record_type
delta-github-run-31861026561-009.jsonl	1	domain:1propertymgmt.com	1propertymgmt.com	19183880754	one property management	Tulsa	USA	One Property Management	property_management	201 S Denver Ave, Tulsa, OK	http://1propertymgmt.com/	david@1propertymgmt.com	+19183880754						https://explore.overturemaps.org/#id=8732ef16-d95d-43b4-8a9c-edb6a3dea642	8732ef16-d95d-43b4-8a9c-edb6a3dea642		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	2	domain:1stchoicepmva.com	1stchoicepmva.com	17577903008	1st choice property management va	Newport News	USA	1st Choice Property Management VA	property_management	11719 Jefferson Ave, Newport News, VA	http://www.1stChoicePMVA.com/	admin@1stchoicepmva.com	+17577903008						https://explore.overturemaps.org/#id=0f3cd335-078a-4aab-8c22-c86f74b47234	0f3cd335-078a-4aab-8c22-c86f74b47234		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	3	domain:21stcenturypm.com	21stcenturypm.com	18448374382	21st century property management	Oceanside	USA	21st Century Property Management	property_management	1523 S Coast Hwy, Oceanside, CA	http://www.21stcenturypm.com/	info@21stcenturypm.com	+18448374382						https://explore.overturemaps.org/#id=de2c4d13-9948-4adb-b9d2-4d11dee4e984	de2c4d13-9948-4adb-b9d2-4d11dee4e984		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	4	domain:2ndstreetpropertymanagement.com	2ndstreetpropertymanagement.com	18568616000	2nd street property management	Bellmawr	USA	2nd Street Property Management	property_management	31 Walnut Ave, Bellmawr, NJ	https://www.2ndstreetpropertymanagement.com/	info@2ndstreetpropertymanagement.com	+18568616000		https://www.instagram.com/2nd_st_pm/				https://explore.overturemaps.org/#id=9ca494ee-ecd0-43a6-bf62-4528211a70ef	9ca494ee-ecd0-43a6-bf62-4528211a70ef		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	5	domain:41stoc.com	41stoc.com	14107448881	ocean city vacation rentals 41stoc com dominica beach llc	Ocean City	USA	Ocean City Vacation Rentals - 41Stoc.com - Dominica Beach, LLC	beach	5 41st St, Ocean City, MD	https://www.41stoc.com/	rental@41stoc.com	+14107448881						https://explore.overturemaps.org/#id=68a9b44c-3a84-46d2-a310-4b6866fc662e	68a9b44c-3a84-46d2-a310-4b6866fc662e		87	0	MEDIUM	
delta-github-run-31861026561-009.jsonl	6	domain:5stardelaware.com	5stardelaware.com	13024503651	5 star property management	Felton	USA	5 Star Property Management	property_management	7344 S Dupont Hwy, Felton, DE	http://www.5StarDelaware.com/	bobbi@5stardelaware.com	+13024503651						https://explore.overturemaps.org/#id=4af9e618-4afd-43a2-859c-18b54b19a988	4af9e618-4afd-43a2-859c-18b54b19a988		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	7	domain:5starpropmgmt.com	5starpropmgmt.com	12404879959	5 star property management	Bowie	USA	5 Star Property Management	property_management	16701 Melford Blvd, Bowie, MD	http://www.5starpropmgmt.com/	kita@5starpropmgmt.com	+12404879959						https://explore.overturemaps.org/#id=0ed4f4d3-acc9-4949-845a-f757128850ea	0ed4f4d3-acc9-4949-845a-f757128850ea		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	8	domain:710caroline.com	710caroline.com	15615125340	patina key west vacation home rental	Key West	USA	Patina Key West Vacation Home Rental	holiday_rental_home	710 Caroline St, Key West, FL	http://710caroline.com/	cobbsfriedman@gmail.com	+15615125340						https://explore.overturemaps.org/#id=f577a633-04e4-4205-9262-1d452bba6fa4	f577a633-04e4-4205-9262-1d452bba6fa4		75	0	HIGH	
delta-github-run-31861026561-009.jsonl	9	domain:918propertymanagement.com	918propertymanagement.com	19186931800	918 rentals and property management	Tulsa	USA	918 Rentals and Property Management	property_management	8909 S Yale Ave, Tulsa, OK	http://www.918propertymanagement.com/	918rentalsinfo@gmail.com	+19186931800		https://www.instagram.com/918rentals/				https://explore.overturemaps.org/#id=07305393-16a9-4870-ab6d-f42bed8228d7	07305393-16a9-4870-ab6d-f42bed8228d7		75	0	PERMISSIVE	
delta-github-run-31861026561-009.jsonl	10	domain:a2zpmc.com	a2zpmc.com	13022396000	a2z property management	Yorklyn	USA	A2Z Property Management	property_management	2851 Creek Rd, Yorklyn, DE	http://www.a2zpmc.com/	info@a2zpmc.com	+13022396000						https://explore.overturemaps.org/#id=505a0b2c-a9c9-4dcb-a239-25efa0e6f68d	505a0b2c-a9c9-4dcb-a239-25efa0e6f68d		75	0	PERMISSIVE	
