6134	B	78	Costa Mesa	USA	Genuine Property Management		property_management	1922 Placentia Ave, Costa Mesa, CA	+19492099494	1			High				overture:142779fa-e93f-4baf-b30a-3ae407bc2500	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.genuinemanaged.com/	care@genuinemanaged.com									Medium	Recall-first	https://explore.overturemaps.org/#id=142779fa-e93f-4baf-b30a-3ae407bc2500		
6135	A	91	Green Valley Lake	USA	Get Lost Inn Vacation Rentals		cabin	33220 Maple Ln, Green Valley Lake, CA	+19092578759	1			High				overture:1a17fdc2-f0af-4a39-88ed-a9bea5cd0900	2026-08-15	New		http://www.getlostinn.com/	getlostinn@gmail.com		https://www.instagram.com/getlostinn2/							Medium	Verified	https://explore.overturemaps.org/#id=1a17fdc2-f0af-4a39-88ed-a9bea5cd0900		
6136	B	78	Calgary	Canada	GIL Property Management and Sales		property_management	12 Royal Vista Way NW, Calgary, AB	+14032663550	1			High				overture:7016e839-b055-4462-91b4-943dcb54071e	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.gilprop.com/	info@gilprop.com									Medium	Recall-first	https://explore.overturemaps.org/#id=7016e839-b055-4462-91b4-943dcb54071e		
6137	A	91	Lahaina	USA	Going Maui Condo Rentals - Oceanfront Vacation Condos		holiday_rental_home	4327 Lower Honoapiilani Rd, Lahaina, HI	+16514647288	1			High				overture:99518af6-5810-456f-bb3b-a891d67b17f0	2026-08-15	New		http://www.goingmaui.com/	goingmaui@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=99518af6-5810-456f-bb3b-a891d67b17f0		
6138	B	78	Fontana	USA	Golden California Property Management		property_management	7950 Cherry Ave, Fontana, CA	+19094292120	1			High				overture:b0d9b3ff-3a5c-4685-98d3-e4f2dce3ec10	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldencaliforniapropertymanagement.com/vacancies	hart39906@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b0d9b3ff-3a5c-4685-98d3-e4f2dce3ec10		
6139	B	78	San Bernardino	USA	Golden Property Management		real_estate_agent	2130 N Arrowhead Ave Ste 105H, San Bernardino, CA	(909) 475-9053	1			High				overture:a4388d06-efcd-4366-8c43-c4a1dc454922	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldenpropertymanagement.net	nathanielblake@hotmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=a4388d06-efcd-4366-8c43-c4a1dc454922		
6140	B	78	San Diego	USA	Gold Key Property Management - San Diego Property Management		property_management	3011 Grape St, San Diego, CA	+16198949153	1			High				overture:a04528c8-37b4-4160-864f-a45e3e925bc8	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldkeysandiego.com/	info@goldkeysandiego.com		https://www.instagram.com/goldkeypropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=a04528c8-37b4-4160-864f-a45e3e925bc8		
6141	B	78	Killeen	USA	Gold Medal Property Management		property_management	1002 E Elms Rd, Killeen, TX	+12542132131	1			High				overture:666df26a-7d53-4a87-bdbd-3523e275dc1a	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.goldmedalrentals.com/	info@goldmedalrentals.com									Medium	Recall-first	https://explore.overturemaps.org/#id=666df26a-7d53-4a87-bdbd-3523e275dc1a		
6142	B	78	Arcadia	USA	Gold Star Property Management		property_management	33 E Huntington Dr, Arcadia, CA	+16264085164	1			High				overture:33ffea96-aaa4-46fa-9b08-33916092e657	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://goldstarmgmtllc.com/	goldstarmgmtllc@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=33ffea96-aaa4-46fa-9b08-33916092e657		
6143	A	88	Greenview No 16	Canada	Nitehawk Year-Round Adventure Park		ski_resort	6356 Township Road 702A, Greenview No 16, AB	+17805326637	1			High				overture:fbbfa53d-d8d6-4437-b46c-48e155addebf	2026-08-15	New		http://www.gonitehawk.com/	info@gonitehawk.com		https://www.instagram.com/gonitehawk/							High	Verified	https://explore.overturemaps.org/#id=fbbfa53d-d8d6-4437-b46c-48e155addebf		
6144	B	78	San Diego	USA	Good Life Property Management		property_management	5252 Balboa Ave, San Diego, CA	+18582074595	1			High				overture:e972e2e8-855d-4b12-8032-609a6fda5e44	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://goodlifemgmt.com/	info@goodlifemgmt.com		https://www.instagram.com/goodlifepropertymgmt/							Medium	Recall-first	https://explore.overturemaps.org/#id=e972e2e8-855d-4b12-8032-609a6fda5e44		
6145	A	88	Σίφνος	Greece	Elisso Villas		hotel	Σίφνος	+306945067561	1			High				overture:8cc370db-ff60-45ed-84db-7aaffd94d46f	2026-08-15	New		https://sites.google.com/view/elissovillassifnos	elissovillas@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=8cc370db-ff60-45ed-84db-7aaffd94d46f		
6146	B	78	Bossier City	USA	Gosslee Property Management		property_management	2146 Airline Dr, Bossier City, LA	+13187478469	1			High				overture:8722342e-985c-4ab6-bcc2-777b363a59a1	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://gossleeproperties.com/	rentals@gossleeproperties.com		https://www.instagram.com/gossleepropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=8722342e-985c-4ab6-bcc2-777b363a59a1		
6147	B	78	Grande Prairie	Canada	Prime Property Management		property_management	10126 97 Ave, Grande Prairie, AB	+17805382980	1			High				overture:3e2137bf-99b4-48b4-84c2-8d3df14d93f0	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.gpprime.net/	leasing@gpprime.net		https://www.instagram.com/primepropertymanagementgp/							Medium	Recall-first	https://explore.overturemaps.org/#id=3e2137bf-99b4-48b4-84c2-8d3df14d93f0		
6148	A	88	Whitefish	Canada	Great Northern Powder Guides		ski_resort	19 E 2nd St, Whitefish, MT	+14068812032	1			High				overture:425019a7-2a00-4dfb-b165-67efc84a5a7d	2026-08-15	New		http://www.greatnorthernpowderguides.com/rates.php	info@greatnorthernpowderguides.com		https://www.instagram.com/greatnorthernpowder/							High	Verified	https://explore.overturemaps.org/#id=425019a7-2a00-4dfb-b165-67efc84a5a7d		
6149	B	78	San Diego	USA	Green Street Property Management		property_management	1228 University Ave, San Diego, CA	+18587751684	1			High				overture:ea6e90ed-5952-4e0f-93c4-09883f485357	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.greenstreetpropertymanagement.com/	info@greenstreetpropertymanagement.com									Medium	Recall-first	https://explore.overturemaps.org/#id=ea6e90ed-5952-4e0f-93c4-09883f485357		
6150	A	91	Columbia-Shuswap	Canada	Griffin Lake Cabin Rentals		cabin	7776 Trans Canada Hwy, Columbia-Shuswap, BC V0E, Canada	+17809075328	1			High				overture:bcb02c87-fdfc-4d2f-ac29-b9c580ca2f18	2026-08-15	New		https://www.griffinlakecabins.com/	griffinlakecabins@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=bcb02c87-fdfc-4d2f-ac29-b9c580ca2f18		
6151	A	88	District of North Vancouver	Canada	Grouse Mountain		ski_resort	6400 Nancy Greene Way, District of North Vancouver	+16049809311	1			High				overture:1cbe17f8-52cd-46af-824d-9b32c9674ccb	2026-08-15	New		https://www.grousemountain.com	guestservices@grousemountain.com		https://www.instagram.com/grousemountain/							High	Verified	https://explore.overturemaps.org/#id=1cbe17f8-52cd-46af-824d-9b32c9674ccb		
6152	B	78	Spring	USA	Guardian Property Management		property_management	8344 Spring Cypress Rd, TX	+19365241301	1			High				overture:640486f3-b83c-4c2f-9292-1ec77b36b02b	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.guardianpropertymanager.com/	info@guardianpropertymanager.com									Medium	Recall-first	https://explore.overturemaps.org/#id=640486f3-b83c-4c2f-9292-1ec77b36b02b		
6153	A	88	Division No. 11	Canada	Gwynne Valley Ski Area		ski_resort	Range Rd 231, Division No. 11	+17803523515	1			High				overture:5a3433e3-ec04-4f9f-9100-534af22af3e9	2026-08-15	New		http://www.gwynnevalley.ca/	gwynnevalley@outlook.com									Medium	Verified	https://explore.overturemaps.org/#id=5a3433e3-ec04-4f9f-9100-534af22af3e9		
6154	A	91	Avinger	USA	The Rustic Retreat at Lake O the Pines Rental - Avinger, Tx		holiday_rental_home	426 Deer Cove Rd, Avinger, TX	+19033097017	1			High				overture:66c14996-6da8-4176-80bc-867d23037e93	2026-08-15	New		http://H2Hvacationrentals.net/	h2hproperties@yahoo.com		https://www.instagram.com/h2hvacationrentals/							Medium	Verified	https://explore.overturemaps.org/#id=66c14996-6da8-4176-80bc-867d23037e93		
6155	B	78	Santa Maria	USA	Hacienda Oaks Property Management		property_management	1750 S Broadway, Santa Maria, CA	+18059250037	1			High				overture:664a42e3-8155-4eea-b1e1-3b2e262c28d6	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.haciendaoaks.com/	info@haciendaoaks.com									Medium	Recall-first	https://explore.overturemaps.org/#id=664a42e3-8155-4eea-b1e1-3b2e262c28d6		
6156	A	91	Kailua Kona	USA	Hale Pohaku		holiday_rental_home	76-6194 Alii Dr, Kailua Kona, HI					High				overture:ba4fc555-b407-48c2-a063-3fa143e73c26	2026-08-15	New		http://hale-pohaku.com/	hale.pohaku.kona@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=ba4fc555-b407-48c2-a063-3fa143e73c26		
6157	A	91	Columbia Falls	Canada	Halfmoon Hideaway Vacation Rentals		holiday_rental_home	326 Halfmoon Rd, Columbia Falls, MT	+16025246592	1			High				overture:13c65c79-d2d6-4e26-8fb0-2f6598672b54	2026-08-15	New		http://Www.halfmoonhideawayrentals.com/	halfmoonhideawayrentals@gmail.com									Medium	Verified	https://explore.overturemaps.org/#id=13c65c79-d2d6-4e26-8fb0-2f6598672b54		
6158	A	91	Hanalei	USA	Hale Reed Hanalei vacation rental on Kauai		hotel	4441 Pilikoa St, Hanalei, HI	+14153086282	1			High				overture:96ec6862-fba6-4356-8bcf-5dc829d04f73	2026-08-15	New		http://www.hanalei-vacation.com	ssreed2971@aol.com									Medium	Verified	https://explore.overturemaps.org/#id=96ec6862-fba6-4356-8bcf-5dc829d04f73		
